id;data_inserimento;stato;codice;cliente_id
1;2019-05-08T11:12:31;COMPLETATO;Optimization Cambridgeshire;6
2;2019-05-07T20:29:15;COMPLETATO;invoice multi-byte;7
3;2019-05-08T02:58:47;COMPLETATO;parsing Investment Account;9
4;2019-05-07T13:13:39;COMPLETATO;yellow;4
5;2019-05-08T11:51:31;COMPLETATO;robust withdrawal generate;7
6;2019-05-08T11:44:14;COMPLETATO;Solomon Islands Dollar;4
7;2019-05-07T21:12:05;COMPLETATO;China;5
8;2019-05-07T18:16:53;COMPLETATO;Cotton Robust;6
9;2019-05-08T04:07:00;COMPLETATO;application Configurable iterate;6
10;2019-05-08T00:10:12;COMPLETATO;Fantastic Small Frozen Salad bypassing;4
